地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2026/06/16,19:46:33.8,茨城県南部,36°06.7′N,139°52.5′E,50 km,5.5,震度５弱
2026/05/20,11:46:25.7,沖縄本島近海,27°26.6′N,128°34.5′E,50 km,5.9,震度５強
2026/05/15,20:22:02.0,宮城県沖,38°54.2′N,142°05.8′E,46 km,6.4,震度５弱
2026/04/27,05:23:56.4,十勝地方南部,42°40.2′N,143°04.5′E,83 km,6.2,震度５強
2026/04/20,16:52:58.0,三陸沖,39°50.5′N,143°09.4′E,19 km,7.7,震度５強
2026/04/18,14:54:30.6,長野県北部,36°34.3′N,137°51.3′E,9 km,5.1,震度５弱
2026/04/18,13:20:05.4,長野県北部,36°34.8′N,137°51.0′E,8 km,5.0,震度５強
2026/04/01,10:06:18.2,茨城県南部,36°06.2′N,139°59.5′E,48 km,5.0,震度５弱
2026/01/06,10:28:48.6,島根県東部,35°19.0′N,133°14.0′E,12 km,5.1,震度５弱
2026/01/06,10:18:48.4,島根県東部,35°18.9′N,133°12.8′E,11 km,6.4,震度５強
2025/12/08,23:15:10.1,青森県東方沖,40°58.0′N,142°17.2′E,54 km,7.5,震度６強
2025/11/25,18:01:16.5,熊本県阿蘇地方,32°59.8′N,131°06.4′E,9 km,5.8,震度５強
2025/10/25,01:40:09.7,根室半島南東沖,42°55.9′N,145°37.0′E,40 km,5.8,震度５弱
2025/09/17,21:55:02.3,トカラ列島近海,29°35.1′N,129°43.1′E,1 km,4.7,震度５弱
2025/07/07,00:12:07.8,トカラ列島近海,29°20.9′N,129°28.5′E,22 km,5.1,震度５弱
2025/07/06,14:07:03.9,トカラ列島近海,29°21.8′N,129°30.7′E,23 km,5.5,震度５強
2025/07/06,14:01:21.3,トカラ列島近海,29°20.9′N,129°30.3′E,21 km,4.9,震度５強
2025/07/05,06:29:39.5,トカラ列島近海,29°20.1′N,129°28.2′E,19 km,5.4,震度５強
2025/07/03,16:13:01.3,トカラ列島近海,29°21.4′N,129°31.3′E,20 km,5.5,震度６弱
2025/07/02,15:26:47.6,トカラ列島近海,29°15.4′N,129°03.1′E,1 km,5.6,震度５弱
2025/07/02,04:32:08.3,トカラ列島近海,29°20.1′N,129°29.1′E,16 km,5.1,震度５弱
2025/06/30,18:33:22.8,トカラ列島近海,29°19.6′N,129°26.3′E,22 km,5.3,震度５弱
