地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2026/06/16,19:46:33.8,茨城県南部,36°06.7′N,139°52.5′E,50 km,5.5,震度５弱
2026/05/20,11:46:25.7,沖縄本島近海,27°26.6′N,128°34.5′E,50 km,5.9,震度５強
2026/05/15,20:22:02.0,宮城県沖,38°54.2′N,142°05.8′E,46 km,6.4,震度５弱
2026/05/14,05:01:36.1,岩手県内陸北部,39°50.2′N,141°25.5′E,12 km,4.8,震度４
2026/05/02,18:28:41.0,和歌山県南部,34°03.7′N,135°33.4′E,65 km,5.8,震度４
2026/04/27,05:23:56.4,十勝地方南部,42°40.2′N,143°04.5′E,83 km,6.2,震度５強
2026/04/20,16:52:58.0,三陸沖,39°50.5′N,143°09.4′E,19 km,7.7,震度５強
2026/04/18,14:54:30.6,長野県北部,36°34.3′N,137°51.3′E,9 km,5.1,震度５弱
2026/04/18,13:20:05.4,長野県北部,36°34.8′N,137°51.0′E,8 km,5.0,震度５強
2026/04/01,10:06:18.2,茨城県南部,36°06.2′N,139°59.5′E,48 km,5.0,震度５弱
2026/03/26,23:18:52.9,三陸沖,39°26.6′N,143°18.1′E,15 km,6.7,震度４
2026/03/21,20:42:36.3,熊本県天草・芦北地方,32°14.8′N,130°26.1′E,8 km,3.5,震度４
2026/03/15,23:10:32.1,熊本県天草・芦北地方,32°14.8′N,130°26.4′E,7 km,3.9,震度４
2026/03/10,15:28:03.4,福島県沖,37°24.0′N,141°03.3′E,59 km,4.7,震度４
2026/01/29,10:25:15.0,千葉県南部,35°04.4′N,140°04.8′E,24 km,4.5,震度４
2026/01/24,06:19:57.6,茨城県北部,36°38.0′N,140°37.3′E,7 km,4.5,震度４
2026/01/15,14:40:14.1,岐阜県飛騨地方,36°21.8′N,137°36.8′E,0 km,4.8,震度４
2026/01/13,05:09:48.3,石川県能登地方,37°28.9′N,137°16.6′E,12 km,4.3,震度４
2026/01/11,13:15:35.2,岩手県沿岸北部,39°33.3′N,141°53.7′E,63 km,5.1,震度４
2026/01/09,20:24:11.7,秋田県内陸北部,40°15.7′N,140°50.6′E,8 km,4.2,震度４
2026/01/09,20:07:58.3,千葉県東方沖,35°26.1′N,140°26.6′E,30 km,4.6,震度４
2026/01/09,18:56:53.3,秋田県内陸北部,40°15.6′N,140°50.5′E,7 km,4.3,震度４
